"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","test_inventory_shows_six_products[chromium]","tests","2026-09-22","failed","2026-09-22","","test_your_turn","",""
"","65","test_locked_out_user_shows_error[chromium]","tests","2026-09-22","passed","2026-09-22","","test_your_turn","",""
"","108","test_empty_username_shows_error[chromium]","tests","2026-09-22","passed","2026-09-22","","test_your_turn","",""
"","73","test_invalid_password_shows_error[chromium]","tests","2026-09-22","passed","2026-09-22","","test_login","",""
"С сохранённой сессией открытие страницы товаров НЕ выкидывает на логин.
    Открой INVENTORY_URL и проверь, что текущий адрес страницы содержит 'inventory'.
    ","184","test_inventory_url_when_authenticated[chromium]","tests","2026-09-22","passed","2026-09-22","","test_inventory","",""
"","107","test_successful_login[chromium]","tests","2026-09-22","failed","2026-09-22","","test_login","",""
"","204","test_inventory_available_with_saved_session[chromium]","tests","2026-09-22","passed","2026-09-22","","test_inventory","",""
